train_window,eval_window,direction,accuracy,precision,recall,f1,n0_current,n1_current,n0_train,n1_train,n_replay_prev,n_replay_two_back
2019_M05-06,2018_M05-06,backward_6p,0.6827794561933535,0.6971428571428572,0.7011494252873564,0.6991404011461319,163,193,225,255,100,24
2019_M07-08,2019_M09-10,forward,0.6028169014084507,0.6178010471204188,0.6344086021505376,0.6259946949602122,340,396,402,458,100,24
2019_M07-08,2019_M05-06,backward_1p,0.7387640449438202,0.7380952380952381,0.8031088082901554,0.7692307692307693,340,396,402,458,100,24
2019_M07-08,2019_M01-02,backward_3p,0.7797619047619048,0.8160919540229885,0.7717391304347826,0.7932960893854749,340,396,402,458,100,24
2019_M07-08,2018_M09-10,backward_5p,0.7213114754098361,0.7526881720430108,0.7142857142857143,0.7329842931937173,340,396,402,458,100,24
2019_M07-08,2018_M07-08,backward_6p,0.660958904109589,0.6685393258426966,0.7484276729559748,0.7062314540059347,340,396,402,458,100,24
2019_M09-10,2019_M11-12,forward,0.6112759643916914,0.6349206349206349,0.6593406593406593,0.6469002695417789,338,372,400,434,100,24
2019_M09-10,2019_M07-08,backward_1p,0.7146739130434783,0.7657142857142857,0.6767676767676768,0.7184986595174263,338,372,400,434,100,24
2019_M09-10,2019_M03-04,backward_3p,0.7046632124352331,0.7373737373737373,0.7019230769230769,0.7192118226600985,338,372,400,434,100,24
2019_M09-10,2018_M11-12,backward_5p,0.727979274611399,0.7755102040816326,0.7136150234741784,0.7432762836185819,338,372,400,434,100,24
2019_M09-10,2018_M09-10,backward_6p,0.73224043715847,0.7634408602150538,0.7244897959183674,0.743455497382199,338,372,400,434,100,24
2019_M11-12,2020_M01-02,forward,0.5946843853820598,0.6126984126984127,0.6126984126984127,0.6126984126984127,310,364,372,426,100,24
2019_M11-12,2019_M09-10,backward_1p,0.7070422535211267,0.735632183908046,0.6881720430107527,0.7111111111111111,310,364,372,426,100,24
2019_M11-12,2019_M05-06,backward_3p,0.7303370786516854,0.7740112994350282,0.7098445595854922,0.7405405405405405,310,364,372,426,100,24
2019_M11-12,2019_M01-02,backward_5p,0.7083333333333334,0.7362637362637363,0.7282608695652174,0.73224043715847,310,364,372,426,100,24
2019_M11-12,2018_M11-12,backward_6p,0.7383419689119171,0.7592592592592593,0.7699530516431925,0.7645687645687645,310,364,372,426,100,24
2020_M01-02,2020_M03-04,forward,0.5949554896142433,0.6126582278481013,0.6685082872928176,0.6393659180977543,287,315,349,377,100,24
2020_M01-02,2019_M11-12,backward_1p,0.6973293768545994,0.696078431372549,0.7802197802197802,0.7357512953367875,287,315,349,377,100,24
2020_M01-02,2019_M07-08,backward_3p,0.6630434782608695,0.685,0.6919191919191919,0.6884422110552764,287,315,349,377,100,24
2020_M01-02,2019_M03-04,backward_5p,0.7046632124352331,0.7281553398058253,0.7211538461538461,0.7246376811594203,287,315,349,377,100,24
2020_M01-02,2019_M01-02,backward_6p,0.6785714285714286,0.7021276595744681,0.717391304347826,0.7096774193548387,287,315,349,377,100,24
2020_M03-04,2020_M05-06,forward,0.5964432284541724,0.6208530805687204,0.6599496221662469,0.6398046398046398,312,362,374,424,100,24
2020_M03-04,2020_M01-02,backward_1p,0.7142857142857143,0.7328990228013029,0.7142857142857143,0.7234726688102894,312,362,374,424,100,24
2020_M03-04,2019_M09-10,backward_3p,0.6647887323943662,0.6587677725118484,0.7473118279569892,0.7002518891687658,312,362,374,424,100,24
2020_M03-04,2019_M05-06,backward_5p,0.7247191011235955,0.7435897435897436,0.7512953367875648,0.7474226804123711,312,362,374,424,100,24
2020_M03-04,2019_M03-04,backward_6p,0.7150259067357513,0.7578947368421053,0.6923076923076923,0.7236180904522613,312,362,374,424,100,24
2020_M05-06,2020_M07-08,forward,0.584070796460177,0.5873015873015873,0.6379310344827587,0.6115702479338843,334,397,396,459,100,24
2020_M05-06,2020_M03-04,backward_1p,0.7195845697329377,0.7319034852546917,0.7541436464088398,0.7428571428571429,334,397,396,459,100,24
2020_M05-06,2019_M11-12,backward_3p,0.7091988130563798,0.7079207920792079,0.7857142857142857,0.7447916666666666,334,397,396,459,100,24
2020_M05-06,2019_M07-08,backward_5p,0.6440217391304348,0.6850828729281768,0.6262626262626263,0.6543535620052771,334,397,396,459,100,24
2020_M05-06,2019_M05-06,backward_6p,0.7078651685393258,0.7458563535911602,0.6994818652849741,0.7219251336898396,334,397,396,459,100,24
2020_M07-08,2020_M09-10,forward,0.6779661016949152,0.69,0.7263157894736842,0.7076923076923077,220,232,282,294,100,24
2020_M07-08,2020_M05-06,backward_1p,0.7045143638850889,0.7090069284064665,0.7732997481108312,0.7397590361445783,220,232,282,294,100,24
2020_M07-08,2020_M01-02,backward_3p,0.6677740863787376,0.6825396825396826,0.6825396825396826,0.6825396825396826,220,232,282,294,100,24
2020_M07-08,2019_M09-10,backward_5p,0.6704225352112676,0.6733668341708543,0.7204301075268817,0.6961038961038961,220,232,282,294,100,24
2020_M07-08,2019_M07-08,backward_6p,0.6168478260869565,0.6492146596858639,0.6262626262626263,0.6375321336760925,220,232,282,294,100,24
2020_M09-10,2020_M11-12,forward,0.6436781609195402,0.6701030927835051,0.6842105263157895,0.6770833333333334,328,380,390,442,100,24
2020_M09-10,2020_M07-08,backward_1p,0.6814159292035398,0.671875,0.7413793103448276,0.7049180327868853,328,380,390,442,100,24
2020_M09-10,2020_M03-04,backward_3p,0.6661721068249258,0.6846361185983828,0.7016574585635359,0.6930422919508867,328,380,390,442,100,24
2020_M09-10,2019_M11-12,backward_5p,0.7032640949554896,0.7070707070707071,0.7692307692307693,0.7368421052631579,328,380,390,442,100,24
2020_M09-10,2019_M09-10,backward_6p,0.6901408450704225,0.7261904761904762,0.6559139784946236,0.6892655367231638,328,380,390,442,100,24
2020_M11-12,2021_M01-02,forward,0.6433333333333333,0.6751592356687898,0.654320987654321,0.664576802507837,316,380,378,442,100,24
2020_M11-12,2020_M09-10,backward_1p,0.768361581920904,0.7872340425531915,0.7789473684210526,0.783068783068783,316,380,378,442,100,24
2020_M11-12,2020_M05-06,backward_3p,0.6826265389876881,0.6923076923076923,0.7481108312342569,0.7191283292978208,316,380,378,442,100,24
2020_M11-12,2020_M01-02,backward_5p,0.6677740863787376,0.6825396825396826,0.6825396825396826,0.6825396825396826,316,380,378,442,100,24
2020_M11-12,2019_M11-12,backward_6p,0.7151335311572701,0.7216494845360825,0.7692307692307693,0.7446808510638298,316,380,378,442,100,24
2021_M01-02,2021_M03-04,forward,0.614190687361419,0.6590909090909091,0.5942622950819673,0.625,276,324,338,386,100,24
2021_M01-02,2020_M11-12,backward_1p,0.7270114942528736,0.7513227513227513,0.7473684210526316,0.7493403693931399,276,324,338,386,100,24
2021_M01-02,2020_M07-08,backward_3p,0.6858407079646017,0.6717557251908397,0.7586206896551724,0.7125506072874493,276,324,338,386,100,24
2021_M01-02,2020_M03-04,backward_5p,0.6646884272997032,0.7023809523809523,0.6519337016574586,0.6762177650429799,276,324,338,386,100,24
2021_M01-02,2020_M01-02,backward_6p,0.6727574750830565,0.695364238410596,0.6666666666666666,0.6807131280388979,276,324,338,386,100,24
2021_M03-04,2021_M05-06,forward,0.6365422396856582,0.6705035971223021,0.7677100494233937,0.7158218125960062,414,488,476,550,100,24
2021_M03-04,2021_M01-02,backward_1p,0.74,0.723404255319149,0.8395061728395061,0.7771428571428571,414,488,476,550,100,24
2021_M03-04,2020_M09-10,backward_3p,0.7570621468926554,0.7476190476190476,0.8263157894736842,0.785,414,488,476,550,100,24
2021_M03-04,2020_M05-06,backward_5p,0.6744186046511628,0.6687898089171974,0.7934508816120907,0.7258064516129032,414,488,476,550,100,24
2021_M03-04,2020_M03-04,backward_6p,0.6706231454005934,0.6732673267326733,0.7513812154696132,0.7101827676240209,414,488,476,550,100,24
2021_M05-06,2021_M07-08,forward,0.6288167938931297,0.6693811074918566,0.6884422110552764,0.6787778695293146,411,607,473,669,100,24
2021_M05-06,2021_M03-04,backward_1p,0.7117516629711752,0.7544642857142857,0.6926229508196722,0.7222222222222222,411,607,473,669,100,24
2021_M05-06,2020_M11-12,backward_3p,0.6810344827586207,0.6926829268292682,0.7473684210526316,0.7189873417721518,411,607,473,669,100,24
2021_M05-06,2020_M07-08,backward_5p,0.7123893805309734,0.6888888888888889,0.8017241379310345,0.7410358565737052,411,607,473,669,100,24
2021_M05-06,2020_M05-06,backward_6p,0.6826265389876881,0.6774193548387096,0.7934508816120907,0.7308584686774942,411,607,473,669,100,24
2021_M07-08,2021_M09-10,forward,0.6460905349794238,0.6512455516014235,0.7120622568093385,0.6802973977695167,451,597,513,659,100,24
2021_M07-08,2021_M05-06,backward_1p,0.74950884086444,0.7634730538922155,0.8401976935749588,0.8,451,597,513,659,100,24
2021_M07-08,2021_M01-02,backward_3p,0.6966666666666667,0.7076023391812866,0.7469135802469136,0.7267267267267268,451,597,513,659,100,24
2021_M07-08,2020_M09-10,backward_5p,0.7570621468926554,0.76,0.8,0.7794871794871795,451,597,513,659,100,24
2021_M07-08,2020_M07-08,backward_6p,0.6504424778761062,0.6504065040650406,0.6896551724137931,0.6694560669456067,451,597,513,659,100,24
2021_M09-10,2021_M11-12,forward,0.6391912908242613,0.6449086161879896,0.7201166180758017,0.6804407713498623,458,514,520,576,100,24
2021_M09-10,2021_M07-08,backward_1p,0.7156488549618321,0.7564322469982847,0.7386934673366834,0.747457627118644,458,514,520,576,100,24
2021_M09-10,2021_M03-04,backward_3p,0.6984478935698448,0.7454545454545455,0.6721311475409836,0.7068965517241379,458,514,520,576,100,24
2021_M09-10,2020_M11-12,backward_5p,0.6867816091954023,0.6901408450704225,0.7736842105263158,0.7295285359801489,458,514,520,576,100,24
2021_M09-10,2020_M09-10,backward_6p,0.7288135593220338,0.7303921568627451,0.7842105263157895,0.7563451776649747,458,514,520,576,100,24
2021_M11-12,2022_M01-02,forward,0.6695652173913044,0.7067961165048544,0.6558558558558558,0.680373831775701,600,686,662,748,100,24
2021_M11-12,2021_M09-10,backward_1p,0.7181069958847737,0.7459016393442623,0.708171206225681,0.7265469061876247,600,686,662,748,100,24
2021_M11-12,2021_M05-06,backward_3p,0.737721021611002,0.7833333333333333,0.7742998352553542,0.7787903893951947,600,686,662,748,100,24
2021_M11-12,2021_M01-02,backward_5p,0.7066666666666667,0.7371794871794872,0.7098765432098766,0.7232704402515723,600,686,662,748,100,24
2021_M11-12,2020_M11-12,backward_6p,0.6839080459770115,0.7298850574712644,0.6684210526315789,0.6978021978021978,600,686,662,748,100,24
2022_M01-02,2022_M03-04,forward,0.6449771689497716,0.6718403547671841,0.6502145922746781,0.6608505997818975,960,1110,1022,1172,100,24
2022_M01-02,2021_M11-12,backward_1p,0.713841368584759,0.7317784256559767,0.7317784256559767,0.7317784256559767,960,1110,1022,1172,100,24
2022_M01-02,2021_M07-08,backward_3p,0.6860687022900763,0.7528301886792453,0.6683417085427136,0.7080745341614907,960,1110,1022,1172,100,24
2022_M01-02,2021_M03-04,backward_5p,0.7006651884700665,0.7280334728033473,0.7131147540983607,0.7204968944099379,960,1110,1022,1172,100,24
2022_M01-02,2021_M01-02,backward_6p,0.6733333333333333,0.6797752808988764,0.7469135802469136,0.711764705882353,960,1110,1022,1172,100,24
2022_M03-04,2022_M05-06,forward,0.6588235294117647,0.6625641025641026,0.7442396313364056,0.7010309278350515,820,932,882,994,100,24
2022_M03-04,2022_M01-02,backward_1p,0.702415458937198,0.7209302325581395,0.7261261261261261,0.7235188509874326,820,932,882,994,100,24
2022_M03-04,2021_M09-10,backward_3p,0.7026748971193416,0.7049180327868853,0.7529182879377432,0.7281279397930386,820,932,882,994,100,24
2022_M03-04,2021_M05-06,backward_5p,0.7259332023575639,0.7611464968152867,0.7874794069192751,0.7740890688259109,820,932,882,994,100,24
2022_M03-04,2021_M03-04,backward_6p,0.6607538802660754,0.6872427983539094,0.6844262295081968,0.6858316221765913,820,932,882,994,100,24
2022_M05-06,2022_M07-08,forward,0.6611374407582938,0.6957928802588996,0.6408345752608048,0.6671838634600465,747,868,809,930,100,24
2022_M05-06,2022_M03-04,backward_1p,0.708904109589041,0.745920745920746,0.6866952789699571,0.7150837988826816,747,868,809,930,100,24
2022_M05-06,2021_M11-12,backward_3p,0.713841368584759,0.729106628242075,0.7376093294460642,0.7333333333333333,747,868,809,930,100,24
2022_M05-06,2021_M07-08,backward_5p,0.6946564885496184,0.7434094903339191,0.7085427135678392,0.725557461406518,747,868,809,930,100,24
2022_M05-06,2021_M05-06,backward_6p,0.7210216110019646,0.763458401305057,0.771004942339374,0.7672131147540984,747,868,809,930,100,24
2022_M07-08,2022_M09-10,forward,0.6872370266479664,0.6945107398568019,0.7538860103626943,0.7229813664596273,595,671,657,733,100,24
2022_M07-08,2022_M05-06,backward_1p,0.7368421052631579,0.7514188422247446,0.7626728110599078,0.7570040022870211,595,671,657,733,100,24
2022_M07-08,2022_M01-02,backward_3p,0.7014492753623188,0.7365384615384616,0.69009009009009,0.7125581395348837,595,671,657,733,100,24
2022_M07-08,2021_M09-10,backward_5p,0.6893004115226338,0.7038461538461539,0.7120622568093385,0.7079303675048356,595,671,657,733,100,24
2022_M07-08,2021_M07-08,backward_6p,0.6889312977099237,0.7174959871589085,0.7487437185929648,0.7327868852459016,595,671,657,733,100,24
2022_M09-10,2022_M11-12,forward,0.6199052132701421,0.6652892561983471,0.5739750445632799,0.6162679425837321,654,772,716,834,100,24
2022_M09-10,2022_M07-08,backward_1p,0.7053712480252765,0.7264437689969605,0.7123695976154992,0.7193378480060195,654,772,716,834,100,24
2022_M09-10,2022_M03-04,backward_3p,0.6986301369863014,0.7463414634146341,0.6566523605150214,0.6986301369863014,654,772,716,834,100,24
2022_M09-10,2021_M11-12,backward_5p,0.7045101088646968,0.7353846153846154,0.6967930029154519,0.7155688622754491,654,772,716,834,100,24
2022_M09-10,2021_M09-10,backward_6p,0.6738683127572016,0.6862003780718336,0.7062256809338522,0.6960690316395014,654,772,716,834,100,24
2022_M11-12,2023_M01-02,forward,0.6365384615384615,0.6591337099811676,0.6398537477148081,0.6493506493506493,988,1122,1050,1184,100,24
2022_M11-12,2022_M09-10,backward_1p,0.7657784011220197,0.7600950118764845,0.8290155440414507,0.7930607187112764,988,1122,1050,1184,100,24
2022_M11-12,2022_M05-06,backward_3p,0.7256965944272445,0.7406568516421291,0.7534562211981567,0.7470017133066819,988,1122,1050,1184,100,24
2022_M11-12,2022_M01-02,backward_5p,0.7043478260869566,0.7371428571428571,0.6972972972972973,0.7166666666666667,988,1122,1050,1184,100,24
2022_M11-12,2021_M11-12,backward_6p,0.6920684292379471,0.7030812324929971,0.7317784256559767,0.7171428571428572,988,1122,1050,1184,100,24
2023_M01-02,2023_M03-04,forward,0.639763779527559,0.6611111111111111,0.6611111111111111,0.6611111111111111,986,1094,1048,1156,100,24
2023_M01-02,2022_M11-12,backward_1p,0.7156398104265402,0.7421150278293135,0.7130124777183601,0.7272727272727273,986,1094,1048,1156,100,24
2023_M01-02,2022_M07-08,backward_3p,0.6958925750394944,0.72,0.6974664679582713,0.708554125662377,986,1094,1048,1156,100,24
2023_M01-02,2022_M03-04,backward_5p,0.6757990867579908,0.7004405286343612,0.6824034334763949,0.691304347826087,986,1094,1048,1156,100,24
2023_M01-02,2022_M01-02,backward_6p,0.6985507246376812,0.7332053742802304,0.6882882882882883,0.7100371747211895,986,1094,1048,1156,100,24
2023_M03-04,2023_M05-06,forward,0.6864406779661016,0.6965601965601965,0.7421465968586387,0.7186311787072244,952,1080,1014,1142,100,24
2023_M03-04,2023_M01-02,backward_1p,0.7105769230769231,0.71280276816609,0.753199268738574,0.7324444444444445,952,1080,1014,1142,100,24
2023_M03-04,2022_M09-10,backward_3p,0.7657784011220197,0.7528868360277137,0.844559585492228,0.796092796092796,952,1080,1014,1142,100,24
2023_M03-04,2022_M05-06,backward_5p,0.7170278637770898,0.7156348373557188,0.7857142857142857,0.7490389895661724,952,1080,1014,1142,100,24
2023_M03-04,2022_M03-04,backward_6p,0.6952054794520548,0.7139784946236559,0.7124463519313304,0.7132116004296455,952,1080,1014,1142,100,24
2023_M05-06,2023_M07-08,forward,0.6586231369765791,0.6645489199491741,0.7067567567567568,0.685003274394237,652,764,714,826,100,24
2023_M05-06,2023_M03-04,backward_1p,0.6998031496062992,0.7087033747779752,0.7388888888888889,0.7234814143245694,652,764,714,826,100,24
2023_M05-06,2022_M11-12,backward_3p,0.6919431279620853,0.7084805653710248,0.714795008912656,0.7116237799467613,652,764,714,826,100,24
2023_M05-06,2022_M07-08,backward_5p,0.688783570300158,0.6998556998556998,0.7228017883755589,0.7111436950146628,652,764,714,826,100,24
2023_M05-06,2022_M05-06,backward_6p,0.7207430340557276,0.7268770402611534,0.7695852534562212,0.7476217123670957,652,764,714,826,100,24
2023_M07-08,2023_M09-10,forward,0.6533742331288344,0.6648351648351648,0.6994219653179191,0.6816901408450704,669,740,731,802,100,24
2023_M07-08,2023_M05-06,backward_1p,0.7266949152542372,0.7290400972053463,0.7853403141361257,0.7561436672967864,669,740,731,802,100,24
2023_M07-08,2023_M01-02,backward_3p,0.698076923076923,0.7177570093457943,0.7020109689213894,0.7097966728280961,669,740,731,802,100,24
2023_M07-08,2022_M09-10,backward_5p,0.7194950911640954,0.7123287671232876,0.8082901554404145,0.7572815533980582,669,740,731,802,100,24
2023_M07-08,2022_M07-08,backward_6p,0.6816745655608215,0.7055214723926381,0.6855439642324889,0.6953892668178382,669,740,731,802,100,24
2023_M09-10,2023_M11-12,forward,0.6687737041719343,0.68,0.7091775923718713,0.6942823803967327,612,692,674,754,100,24
2023_M09-10,2023_M07-08,backward_1p,0.7203690560681334,0.7294429708222812,0.7432432432432432,0.7362784471218207,612,692,674,754,100,24
2023_M09-10,2023_M03-04,backward_3p,0.6909448818897638,0.7132075471698113,0.7,0.7065420560747664,612,692,674,754,100,24
2023_M09-10,2022_M11-12,backward_5p,0.6966824644549763,0.7269303201506592,0.6880570409982175,0.706959706959707,612,692,674,754,100,24
2023_M09-10,2022_M09-10,backward_6p,0.726507713884993,0.7279236276849642,0.7901554404145078,0.7577639751552795,612,692,674,754,100,24
2023_M11-12,2024_M01-02,forward,0.6754057428214731,0.6986634264884569,0.6788665879574971,0.688622754491018,743,839,805,901,100,24
2023_M11-12,2023_M09-10,backward_1p,0.74079754601227,0.7492957746478873,0.7687861271676301,0.7589158345221113,743,839,805,901,100,24
2023_M11-12,2023_M05-06,backward_3p,0.7266949152542372,0.7509986684420772,0.7382198952879581,0.7445544554455445,743,839,805,901,100,24
2023_M11-12,2023_M01-02,backward_5p,0.6894230769230769,0.7121212121212122,0.6873857404021938,0.6995348837209302,743,839,805,901,100,24
2023_M11-12,2022_M11-12,backward_6p,0.6928909952606636,0.7231638418079096,0.6844919786096256,0.7032967032967034,743,839,805,901,100,24
2024_M01-02,2024_M03-04,forward,0.6448260280162675,0.6471544715447154,0.6933797909407665,0.6694701429772918,755,847,817,909,100,24
2024_M01-02,2023_M11-12,backward_1p,0.7351453855878635,0.7419354838709677,0.767580452920143,0.7545401288810779,755,847,817,909,100,24
2024_M01-02,2023_M07-08,backward_3p,0.6891412349183819,0.684596577017115,0.7567567567567568,0.7188703465982028,755,847,817,909,100,24
2024_M01-02,2023_M03-04,backward_5p,0.6840551181102362,0.7039106145251397,0.7,0.7019498607242339,755,847,817,909,100,24
2024_M01-02,2023_M01-02,backward_6p,0.6903846153846154,0.711864406779661,0.6910420475319927,0.7012987012987013,755,847,817,909,100,24
2024_M03-04,2024_M05-06,forward,0.6704009433962265,0.6741344195519349,0.7347391786903441,0.7031332979288369,1065,1148,1127,1210,100,24
2024_M03-04,2024_M01-02,backward_1p,0.7409488139825219,0.7596153846153846,0.7461629279811098,0.752829064919595,1065,1148,1127,1210,100,24
2024_M03-04,2023_M09-10,backward_3p,0.7331288343558282,0.7574850299401198,0.7312138728323699,0.7441176470588236,1065,1148,1127,1210,100,24
2024_M03-04,2023_M05-06,backward_5p,0.6998587570621468,0.7431850789096126,0.6780104712041884,0.7091033538672142,1065,1148,1127,1210,100,24
2024_M03-04,2023_M03-04,backward_6p,0.6751968503937008,0.7142857142857143,0.6481481481481481,0.6796116504854369,1065,1148,1127,1210,100,24
2024_M05-06,2024_M07-08,forward,0.6580459770114943,0.6639892904953146,0.6879334257975035,0.6757493188010899,795,901,857,963,100,24
2024_M05-06,2024_M03-04,backward_1p,0.7573429733393583,0.7663469921534438,0.7656794425087108,0.7660130718954249,795,901,857,963,100,24
2024_M05-06,2023_M11-12,backward_3p,0.729456384323641,0.7584905660377359,0.7187127532777116,0.7380660954712362,795,901,857,963,100,24
2024_M05-06,2023_M07-08,backward_5p,0.6905606813342796,0.7209302325581395,0.6702702702702703,0.6946778711484594,795,901,857,963,100,24
2024_M05-06,2023_M05-06,backward_6p,0.701271186440678,0.7481804949053857,0.6727748691099477,0.7084769124741558,795,901,857,963,100,24
2024_M07-08,2024_M09-10,forward,0.6562922868741543,0.6691542288557214,0.6897435897435897,0.6792929292929293,671,721,733,783,100,24
2024_M07-08,2024_M05-06,backward_1p,0.7075471698113207,0.7147401908801697,0.7480577136514983,0.7310195227765727,671,721,733,783,100,24
2024_M07-08,2024_M01-02,backward_3p,0.7471910112359551,0.779746835443038,0.7272727272727273,0.7525962125839951,671,721,733,783,100,24
2024_M07-08,2023_M09-10,backward_5p,0.7024539877300614,0.7159090909090909,0.7283236994219653,0.7220630372492837,671,721,733,783,100,24
2024_M07-08,2023_M07-08,backward_6p,0.6770759403832506,0.698744769874477,0.677027027027027,0.6877144818119424,671,721,733,783,100,24
2024_M09-10,2024_M11-12,forward,0.6615598885793872,0.680327868852459,0.664,0.6720647773279352,349,390,411,452,100,24
2024_M09-10,2024_M07-08,backward_1p,0.7413793103448276,0.7482806052269602,0.7545076282940361,0.7513812154696132,349,390,411,452,100,24
2024_M09-10,2024_M03-04,backward_3p,0.7261635788522368,0.75139146567718,0.705574912891986,0.7277628032345014,349,390,411,452,100,24
2024_M09-10,2023_M11-12,backward_5p,0.7168141592920354,0.7589403973509934,0.6829558998808105,0.7189460476787954,349,390,411,452,100,24
2024_M09-10,2023_M09-10,backward_6p,0.7223926380368099,0.744807121661721,0.7254335260115607,0.7349926793557833,349,390,411,452,100,24
